;ei_ole;1_laps;2_last;3_last;4_last;ei_tea;;
Ridala vald;3;2;12;6;3;0;;
Risti vald;1;6;7;1;0;0;;
Taebla vald;4;7;6;4;3;0;;
Vormsi vald;4;31;61;22;9;1;;
Kunda linn;2;8;13;14;1;0;;
Rakvere linn;6;26;67;38;8;1;;
Tamsalu linn;0;6;4;0;0;0;;
Tapa linn;15;82;100;32;7;2;;
Avanduse vald;66;399;485;133;23;5;;
Haljala vald;10;37;61;21;4;1;;
Kadrina vald;23;177;177;56;11;3;;
Laekvere vald;3;5;8;5;1;0;;
Rakke vald;7;26;53;29;10;0;;
Rakvere vald;4;48;108;48;14;3;;
R2gavere vald;3;8;20;9;13;1;;
Saksi vald;3;17;23;18;6;0;;
S6meru vald;4;24;39;23;8;1;;
Tamsalu vald;1;8;14;10;3;0;;
Vihula vald;1;15;18;12;2;1;;
Vinni vald;5;49;62;32;10;2;;
Viru-Nigula vald;2;17;32;19;7;0;;
V2ike-Maarja vald;6;16;39;17;4;0;;
P6lva linn;8;68;90;52;24;1;;
R2pina linn;6;16;17;10;5;0;;
Ahja vald;14;41;72;32;16;0;;
Kanepi vald;9;89;154;64;12;2;;
K6lleste vald;5;35;50;24;6;0;;
Laheda vald;2;14;15;12;5;0;;
Mikitam2e vald;9;21;25;17;14;1;;
Mooste vald;1;8;16;8;3;0;;
Orava vald;3;8;13;11;8;0;;
P6lva vald;2;12;9;6;1;0;;
R2pina vald;2;8;17;10;4;0;;
Valgj2rve vald;1;5;7;7;0;0;;
Vastse-Kuuste vald;7;43;71;27;11;1;;
Veriora vald;9;13;37;17;5;1;;
V2rska vald;1;10;13;10;4;0;;
Kilingi-N6mme linn;2;9;22;12;7;0;;
P2rnu linn;6;13;22;9;3;0;;
Sindi linn;3;12;8;7;0;0;;
Are vald;5;20;46;14;5;1;;
Audru vald;192;1189;1261;325;86;31;;
Halinga vald;14;77;102;35;11;3;;
P2rnu-Jaagupi alev;2;7;15;13;6;0;;
H22demeeste vald;12;60;92;33;9;2;;
Kaisma vald;9;31;51;33;12;0;;
Kihnu vald;4;13;25;9;3;0;;
Koonga vald;2;16;60;19;16;2;;
Lavassaare vald;1;5;7;5;1;0;;
Paikuse vald;0;1;5;5;2;0;;
Saarde vald;3;10;22;12;2;0;;
Sauga vald;3;6;13;4;2;0;;
Surju vald;3;6;13;4;2;0;;
Tahkuranna vald;7;24;60;28;12;0;;
Tali vald;5;15;28;25;4;1;;
Tootsi vald;6;40;49;30;3;1;;
Tootsi alev;4;7;12;12;3;0;;
Tori vald;4;13;40;9;6;0;;
T6stamaa vald;2;4;6;9;5;0;;
Varbla vald;4;21;30;13;5;0;;
V2ndra vald;4;21;30;13;5;0;;
V2ndra alevi vald;4;33;49;17;8;1;;
V2ndra alev;4;10;20;7;8;0;;
Rapla linn;4;9;11;9;3;0;;
Juuru vald;3;18;32;27;10;1;;
J2rvakandi vald;5;23;63;15;7;0;;
Kaiu vald;5;23;63;15;7;0;;
Kehtna vald;21;93;163;39;6;0;;
Kohila vald;2;10;26;12;7;0;;
Kohila alevi vald;3;24;32;12;2;1;;
Kohila alev;3;24;32;12;2;1;;
K2ru vald;1;9;21;15;13;0;;
Loodna vald;10;51;99;48;20;2;;
M2rjamaa vald;1;27;41;27;8;0;;
M2rjamaa alev;9;62;74;42;9;2;;
Raikkyla vald;9;62;74;42;9;2;;
Rapla vald;1;7;10;10;3;0;;
Vigala vald;3;11;13;12;4;0;;
Kuressaare linn;7;32;48;37;8;1;;
Kaarma vald;8;34;70;25;9;2;;
Kihelkonna vald;8;34;70;25;9;2;;
K2rla vald;6;12;28;20;7;2;;
Laimjala vald;10;34;67;32;16;2;;
Leisi vald;3;13;16;9;11;0;;
Lymanda vald;50;216;336;134;42;2;;
Muhu vald;2;29;58;32;14;1;;
Mustjala vald;2;9;16;6;5;0;;
Orissaare vald;5;11;22;17;6;2;;
Pihtla vald;1;5;6;4;2;0;;
P8ide vald;3;10;15;20;7;0;;
Ruhnu vald;1;7;5;10;2;0;;
Salme vald;5;10;19;9;5;0;;
Torgu vald;2;5;5;1;1;0;;
Valjala vald;7;9;26;14;4;0;;
Elva linn;2;9;18;9;6;0;;
Kallaste linn;5;8;13;8;5;0;;
Tartu linn;1;0;0;0;0;0;;
Alatskivi vald;3;7;12;14;7;0;;
Haaslava vald;0;0;5;3;3;0;;
Kambja vald;1;3;15;6;6;0;;
Konguta vald;22;88;122;55;13;1;;
Laeva vald;4;17;21;3;4;0;;
Luunja vald;429;2336;2422;665;116;28;;
Meeksi vald;2;11;30;7;4;1;;
M2ksa vald;5;16;34;14;7;0;;
N6o vald;4;29;42;18;9;0;;
Peipsi22re vald;3;9;17;11;3;0;;
Piirissaare vald;3;6;11;13;6;0;;
Puhja vald;2;18;53;16;5;1;;
Rannu vald;4;2;10;5;2;0;;
R6ngu vald;6;20;29;15;6;1;;
Tartu vald;9;39;59;25;9;0;;
T2htvere vald;1;12;10;7;1;0;;
Vara vald;0;2;1;0;0;0;;
V6nnu vald;5;24;50;34;8;0;;
ylenurme vald;4;18;23;16;10;0;;
T6rva linn;3;30;71;29;8;1;;
Valga linn;11;46;94;56;13;1;;
Helme vald;11;27;57;23;5;2;;
Hummuli vald;0;24;31;22;6;0;;
Karula vald;0;8;22;13;7;0;;
Otep22 vald;14;76;90;42;6;2;;
Otep22 vs linn;6;33;61;20;6;0;;
Palupera vald;60;343;402;109;24;3;;
Puka vald;7;21;33;20;7;1;;
P6drala vald;2;11;16;6;4;0;;
Sangaste vald;5;9;12;6;5;0;;
Taheva vald;11;40;67;22;11;0;;
T6lliste vald;6;22;40;11;6;0;;
6ru vald;4;7;15;7;3;0;;
M6isakyla linn;5;12;39;18;5;0;;
Suure-Jaani linn;7;11;8;7;0;0;;
Viljandi linn;1;7;17;15;11;4;;
V6hma linn;3;7;11;6;4;0;;
Abja vald;3;24;25;17;3;1;;
Abja-Paluoja vs linn;3;3;10;6;0;1;;
Halliste vald;3;7;17;5;2;0;;
Karksi vald;3;17;31;12;0;0;;
Karksi-Nuia vs linn;88;385;541;186;36;7;;
Kolga-Jaani vald;4;20;25;18;5;1;;
K6o vald;8;19;52;34;8;0;;
K6pu vald;6;13;26;17;2;0;;
Olustvere vald;4;9;25;14;6;0;;
Paistu vald;11;37;68;35;13;2;;
P2rsti vald;5;22;39;18;9;2;;
Saarepeedi vald;3;16;24;15;6;0;;
Suure-Jaani vald;1;8;24;11;6;1;;
Tarvastu vald;6;1;16;7;3;0;;
Vastem6isa vald;3;12;27;16;4;0;;
Viiratsi vald;1;5;19;19;8;1;;
V6ru linn;7;37;65;51;11;1;;
Antsla vald;4;6;16;8;6;0;;
Antsla vs linn;1;24;29;17;8;0;;
Haanja vald;12;34;53;35;21;1;;
Lasva vald;1;7;14;14;2;0;;
Merem2e vald;9;39;74;34;10;0;;
Misso vald;52;286;388;109;23;1;;
M6niste vald;6;26;68;32;17;0;;
R6uge vald;4;15;28;13;3;0;;
S6merpalu vald;2;7;17;9;3;1;;
Urvaste vald;4;5;28;11;4;0;;
Varstu vald;1;4;13;9;7;0;;
Vastseliina vald;1;8;1;4;3;0;;
V6ru vald;2;4;5;7;1;0;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
