;ei_ole;1_laps;2_last;3_last;4_last;ei_tea;;
Torma vald;20;47;168;96;32;2;;
Paide linn;94;398;918;301;49;12;;
Tyri linn;47;255;661;214;46;16;;
Albu vald;9;35;86;62;16;1;;
Ambla vald;16;72;170;124;38;0;;
Imavere vald;6;25;63;41;19;0;;
J2rva-Jaani vald;13;44;139;67;27;2;;
Kabala vald;6;14;69;46;11;0;;
Kareda vald;4;18;51;35;12;1;;
Koeru vald;17;50;177;85;28;2;;
Koigi vald;8;21;72;51;23;0;;
Lehtse vald;10;42;119;71;27;1;;
Oisu vald;6;27;91;64;22;1;;
Paide vald;17;42;145;81;14;2;;
Roosna-Alliku vald;4;34;108;45;17;2;;
Tyri vald;16;76;230;115;33;5;;
V22tsa vald;6;23;129;75;20;3;;
Haapsalu linn;136;546;1143;332;73;14;;
Hanila vald;10;58;135;75;26;3;;
Kullamaa vald;6;18;82;56;13;2;;
Lihula vald;12;77;242;93;38;8;;
Lihula vs linn;4;51;147;45;18;6;;
Martna vald;5;26;52;44;29;4;;
Noarootsi vald;8;18;50;42;11;0;;
N6va vald;5;11;42;26;10;0;;
Oru vald;6;23;59;42;13;1;;
Ridala vald;17;86;249;127;35;3;;
Risti vald;9;28;70;34;10;4;;
Taebla vald;16;96;209;112;31;0;;
Vormsi vald;3;4;20;9;4;2;;
Kunda linn;32;178;386;105;19;2;;
Rakvere linn;155;811;1525;410;75;19;;
Tamsalu linn;19;73;234;109;35;2;;
Tapa linn;81;333;661;159;29;13;;
Avanduse vald;6;24;78;54;16;2;;
Haljala vald;20;69;204;115;30;0;;
Kadrina vald;36;164;404;217;51;0;;
Laekvere vald;15;45;110;75;36;0;;
Rakke vald;6;42;158;87;29;0;;
Rakvere vald;7;60;185;100;24;3;;
R2gavere vald;6;25;76;35;10;2;;
Saksi vald;8;22;57;32;19;0;;
S6meru vald;30;140;378;118;44;2;;
Tamsalu vald;16;50;138;81;22;4;;
Vihula vald;15;50;176;95;23;4;;
Vinni vald;46;156;471;244;76;1;;
Viru-Nigula vald;17;46;94;52;16;1;;
V2ike-Maarja vald;35;123;350;176;48;2;;
P6lva linn;47;218;680;210;43;17;;
R2pina linn;32;121;290;113;22;5;;
Ahja vald;8;17;95;63;16;0;;
Kanepi vald;20;53;205;118;34;2;;
K6lleste vald;8;29;78;40;17;2;;
Laheda vald;7;29;107;57;18;2;;
Mikitam2e vald;13;29;91;60;19;1;;
Mooste vald;8;47;117;71;25;3;;
Orava vald;8;17;69;41;16;0;;
P6lva vald;34;95;352;186;43;3;;
R2pina vald;28;78;228;129;31;7;;
Valgj2rve vald;14;31;117;93;37;3;;
Vastse-Kuuste vald;7;27;97;56;14;0;;
Veriora vald;14;45;139;68;22;2;;
V2rska vald;12;35;116;107;18;2;;
Kilingi-N6mme linn;22;65;218;87;26;2;;
P2rnu linn;514;2364;4392;1144;179;76;;
Sindi linn;32;186;414;123;17;5;;
Are vald;9;31;94;72;16;4;;
Audru vald;41;138;413;206;48;4;;
Halinga vald;21;97;307;156;39;3;;
P2rnu-Jaagupi alev;13;46;143;56;12;1;;
H22demeeste vald;13;67;184;159;51;3;;
Kaisma vald;1;20;31;37;11;0;;
Kihnu vald;7;9;27;27;10;0;;
Koonga vald;10;24;75;59;28;2;;
Lavassaare vald;8;19;51;24;4;3;;
Paikuse vald;19;117;272;99;23;7;;
Saarde vald;6;49;159;112;34;0;;
Sauga vald;27;90;243;103;20;2;;
Surju vald;6;33;72;42;14;1;;
Tahkuranna vald;33;48;174;84;24;1;;
Tali vald;3;12;37;34;11;1;;
Tootsi vald;14;42;92;48;8;1;;
Tootsi alev;14;42;92;48;8;1;;
Tori vald;11;62;169;113;45;8;;
T6stamaa vald;8;27;111;68;23;0;;
Varbla vald;6;32;81;39;16;1;;
V2ndra vald;19;50;156;129;36;2;;
V2ndra alevi vald;16;76;264;127;21;0;;
V2ndra alev;16;76;264;127;21;0;;
Rapla linn;61;246;537;196;38;3;;
Juuru vald;17;33;100;70;19;2;;
J2rvakandi vald;20;57;159;41;10;0;;
Kaiu vald;8;25;100;70;29;1;;
Kehtna vald;37;112;368;218;61;2;;
Kohila vald;24;89;188;95;24;3;;
Kohila alevi vald;30;114;274;120;32;2;;
Kohila alev;30;114;274;120;32;2;;
K2ru vald;7;10;44;27;18;1;;
Loodna vald;7;23;81;51;10;0;;
M2rjamaa vald;20;73;225;137;39;2;;
M2rjamaa alev;26;110;299;128;28;4;;
Raikkyla vald;11;47;126;74;17;2;;
Rapla vald;23;101;326;170;32;3;;
Vigala vald;11;35;123;75;22;2;;
Kuressaare linn;147;541;1414;565;123;12;;
Kaarma vald;23;90;293;173;67;6;;
Kihelkonna vald;6;19;72;38;22;0;;
K2rla vald;8;38;97;60;18;2;;
Laimjala vald;3;12;55;40;14;1;;
Leisi vald;19;38;113;118;44;1;;
Lymanda vald;4;15;54;53;16;0;;
Muhu vald;24;37;138;98;38;5;;
Mustjala vald;3;8;44;30;16;0;;
Orissaare vald;13;60;175;105;30;2;;
Pihtla vald;19;23;97;89;21;0;;
P8ide vald;7;19;74;43;20;0;;
Ruhnu vald;3;1;5;1;1;0;;
Salme vald;8;27;81;63;19;0;;
Torgu vald;0;10;20;30;7;0;;
Valjala vald;16;27;70;64;27;3;;
Elva linn;53;235;580;236;44;7;;
Kallaste linn;11;49;135;39;5;1;;
Tartu linn;1208;4781;8802;2298;408;134;;
Alatskivi vald;12;47;115;63;20;2;;
Haaslava vald;14;50;152;58;12;2;;
Kambja vald;14;76;170;108;37;4;;
Konguta vald;13;25;106;62;21;0;;
Laeva vald;7;20;52;40;12;0;;
Luunja vald;12;69;220;101;32;5;;
Meeksi vald;7;11;55;43;14;1;;
M2ksa vald;7;57;123;65;17;0;;
N6o vald;35;118;272;166;42;1;;
Peipsi22re vald;4;42;91;28;8;0;;
Piirissaare vald;0;7;8;2;2;0;;
Puhja vald;21;68;213;102;36;0;;
Rannu vald;13;37;143;88;25;1;;
R6ngu vald;20;72;225;122;49;1;;
Tartu vald;34;144;450;196;58;5;;
T2htvere vald;27;125;264;111;19;2;;
Vara vald;11;41;142;78;27;3;;
V6nnu vald;7;27;91;59;9;0;;
ylenurme vald;38;182;434;176;39;8;;
T6rva linn;34;116;330;124;35;2;;
Valga linn;146;715;1337;382;71;14;;
Helme vald;7;49;168;106;34;3;;
Hummuli vald;4;27;72;38;18;4;;
Karula vald;5;22;101;47;12;2;;
Otep22 vald;33;117;402;183;32;5;;
Otep22 vs linn;23;77;248;90;14;5;;
Palupera vald;5;24;76;51;12;1;;
Puka vald;18;54;123;65;26;0;;
P6drala vald;9;16;57;38;21;0;;
Sangaste vald;14;32;105;63;22;6;;
Taheva vald;9;25;76;42;14;0;;
T6lliste vald;13;51;151;70;33;0;;
6ru vald;2;18;38;23;12;1;;
M6isakyla linn;10;37;109;42;14;1;;
Suure-Jaani linn;9;27;124;62;16;0;;
Viljandi linn;197;825;1933;619;120;18;;
V6hma linn;4;61;141;50;11;1;;
Abja vald;17;66;202;119;28;3;;
Abja-Paluoja vs linn;9;37;124;60;7;3;;
Halliste vald;11;33;104;74;25;1;;
Karksi vald;36;103;336;176;51;3;;
Karksi-Nuia vs linn;17;59;203;86;20;2;;
Kolga-Jaani vald;18;35;119;70;35;1;;
K6o vald;8;22;78;53;23;1;;
K6pu vald;4;31;51;31;13;0;;
Olustvere vald;12;32;85;60;25;3;;
Paistu vald;8;50;108;80;16;3;;
P2rsti vald;28;89;298;140;47;8;;
Saarepeedi vald;10;25;86;61;17;1;;
Suure-Jaani vald;16;47;155;118;42;1;;
Tarvastu vald;26;74;283;178;67;3;;
Vastem6isa vald;6;14;81;56;15;0;;
Viiratsi vald;36;110;286;150;58;2;;
V6ru linn;135;572;1485;439;74;10;;
Antsla vald;35;113;327;197;47;5;;
Antsla vs linn;11;55;146;58;12;2;;
Haanja vald;8;23;79;63;14;2;;
Lasva vald;14;38;114;85;19;3;;
Merem2e vald;8;26;75;71;26;2;;
Misso vald;6;18;74;56;10;0;;
M6niste vald;8;22;77;47;16;3;;
R6uge vald;13;35;161;120;20;1;;
S6merpalu vald;7;44;128;96;36;3;;
Urvaste vald;9;27;89;76;30;1;;
Varstu vald;6;16;91;67;15;5;;
Vastseliina vald;17;47;163;128;32;2;;
V6ru vald;22;141;467;222;57;2;;
